iter	Passed	Remaining
245	18072	15868
246	18162	15809
247	18213	15716
248	18288	15644
249	18336	15549
250	18427	15490
251	18517	15431
252	18592	15359
253	18651	15273
254	18751	15221
255	18814	15139
256	18861	15045
257	18954	14987
258	19011	14901
259	19060	14808
260	19151	14748
261	19229	14679
262	19312	14613
263	19366	14524
264	19459	14465
265	19527	14388
266	19581	14301
267	19670	14238
268	19713	14144
269	19804	14083
270	19891	14019
271	19979	13956
272	20061	13888
273	20114	13801
274	20211	13743
275	20297	13678
276	20376	13609
277	20454	13538
278	20498	13445
279	20554	13360
280	20639	13294
281	20717	13223
282	20785	13146
283	20863	13076
284	20944	13007
285	20994	12919
286	21052	12837
287	21134	12769
288	21218	12701
289	21284	12624
290	21358	12550
291	21431	12477
292	21500	12401
293	21582	12332
294	21667	12266
295	21748	12196
296	21815	12119
297	21904	12054
298	21988	11987
299	22072	11919
300	22155	11850
301	22230	11777
302	22318	11711
303	22402	11643
304	22478	11570
305	22547	11494
306	22624	11422
307	22669	11334
308	22736	11257
309	22809	11184
310	22897	11117
311	22964	11040
312	23029	10962
313	23118	10896
314	23192	10822
315	23266	10749
316	23353	10682
317	23444	10616
318	23535	10550
319	23614	10478
320	23657	10391
321	23702	10305
322	23749	10220
323	23823	10146
324	23906	10077
325	23995	10010
326	24079	9941
327	24149	9866
328	24225	9793
329	24324	9729
330	24393	9654
331	24463	9579
332	24549	9510
333	24636	9441
334	24735	9377
335	24823	9308
336	24890	9232
337	24965	9158
338	25056	9091
339	25134	9019
340	25224	8950
341	25269	8866
342	25355	8796
343	25408	8715
344	25465	8636
345	25511	8553
346	25556	8469
347	25650	8402
348	25698	8320
349	25792	8253
350	25874	8182
351	25965	8114
352	26054	8045
353	26120	7969
354	26222	7903
355	26306	7832
356	26356	7751
357	26435	7679
358	26513	7606
359	26599	7536
360	26685	7465
361	26760	7392
362	26843	7320
363	26946	7254
364	27031	7183
365	27114	7111
366	27170	7033
367	27237	6957
368	27315	6884
369	27380	6808
370	27468	6737
371	27524	6659
372	27614	6589
373	27687	6514
374	27762	6440
375	27842	6368
376	27917	6294
377	28000	6222
378	28081	6149
379	28148	6074
380	28236	6003
381	28329	5932
382	28408	5859
383	28475	5784
384	28565	5713
385	28642	5639
386	28684	5559
387	28772	5487
388	28857	5415
389	28919	5339
390	29003	5266
391	29054	5188
392	29121	5112
393	29163	5033
394	29239	4959
395	29284	4880
396	29332	4802
397	29418	4730
398	29492	4656
399	29559	4581
